idHebergement,CAPACITE D'ACCUEIL (PERSONNES),NOMBRE DE CHAMBRES
1526,33,14
1527,144,70
1528,170,83
1529,72,30
1530,82,41
1531,71,33
1532,99,42
1533,126,63
1534,41,19
1535,49,20
1544,270,133
1545,174,69
1546,52,26
1547,77,32
1548,60,24
1551,NULL,120
1552,23,11
1553,24,10
1554,161,82
1561,105,51
1562,47,18
1563,36,13
1564,37,19
1566,18,9
1567,52,26
1568,94,41
1569,38,17
1570,28,10
1571,53,26
1572,9,4
1577,72,35
1578,31,13
1579,16,7
1584,40,18
1585,166,72
1589,39,19
1591,NULL,36
1594,202,95
1595,70,23
1596,178,87
1599,48,18
1600,104,50
1601,120,60
1602,145,76
1603,84,42
1604,94,47
1605,45,19
1606,374,187
1607,40,20
1608,130,63
1609,63,29
1610,20,8
1611,46,23
1612,18,8
1613,93,41
1620,18,8
1621,45,20
1622,70,32
1623,70,30
1627,76,32
1628,150,66
1629,72,36
1631,60,27
1632,35,15
1638,162,81
1639,160,77
1640,93,49
1641,33,13
1642,108,57
1645,57,22
1646,194,97
1647,127,41
1648,65,33
1649,125,59
1650,90,42
1651,45,22
1652,NULL,17
1653,44,20
1666,237,84
1668,64,31
1669,45,19
1670,140,68
1671,156,75
1680,97,46
1681,NULL,45
1684,40,18
1685,90,42
1692,26,12
1693,46,23
1694,26,12
1695,400,200
1696,244,30
1697,61,30
1698,172,72
1700,42,18
1701,788,274
1702,66,30
1703,22,9
1704,56,27
1705,166,78
1706,125,54
1707,150,75
1708,210,118
1709,26,10
1710,43,24
1711,1102,122
1712,42,17
1719,104,52
1720,19,8
1721,144,59
1722,36,15
1723,300,149
1724,55,23
1725,42,20
1731,16,8
1732,110,55
1733,72,23
1734,22,10
1735,123,61
1736,20,10
1737,199,100
1738,14,7
1739,21,8
1740,24,12
1742,32,15
1743,43,19
1744,30,12
1745,18,9
1746,102,45
1750,45,19
1755,15,7
1756,24,10
1757,46,24
1758,16,8
1759,38,16
1764,49,22
1765,24,12
1766,19,6
1767,18,9
1768,239,85
1769,32,15
1770,83,42
1771,100,47
1772,69,30
1773,98,45
1775,52,20
1776,51,25
1777,219,73
1778,26,11
1779,46,23
1780,47,14
1781,92,38
1789,69,32
1790,56,27
1791,46,20
1792,68,34
1793,7,3
1794,188,89
1796,66,25
1797,110,55
1798,83,40
1799,37,19
1800,29,12
1801,33,15
1802,60,28
1803,63,28
1804,70,27
1805,34,15
1813,47,23
1814,22,11
1815,24,12
1816,50,23
1817,107,52
1818,45,15
1819,51,21
1820,140,70
1821,459,135
1823,49,21
1827,160,79
1828,158,70
1829,110,49
1830,50,22
1833,83,38
1834,160,80
1836,44,26
1837,20,7
1838,92,37
1839,186,93
1840,42,18
1841,16,8
1842,364,162
1843,44,19
1844,60,27
1845,88,42
1854,137,68
1855,54,23
1856,777,327
1857,39,39
1860,135,63
1861,150,70
1863,60,29
1864,113,47
1865,20,8
1870,405,134
1871,168,81
1872,30,13
1876,130,65
1877,43,20
1878,108,52
1879,92,44
1884,50,24
1887,64,31
1888,65,32
1889,126,60
1890,166,70
1891,62,30
1894,17,7
1895,58,31
1899,80,48
1906,83,39
1907,50,23
1908,158,79
1909,54,22
1911,828,328
1912,301,108
1913,124,58
1914,73,35
1915,662,331
1916,91,48
1917,27,11
1918,40,18
1919,16,8
1920,45,21
1923,68,38
1924,63,21
1925,50,24
1926,46,24
1931,30,12
1933,28,9
1934,150,76
1935,52,22
1936,79,37
1937,28,14
1941,273,129
1942,202,101
1945,108,50
1946,50,21
1947,203,68
1948,30,18
1951,134,47
1952,99,44
1953,72,23
1954,302,151
1955,80,34
1958,25,10
1972,50,26
1973,146,73
1974,20,10
1975,24,12
1976,77,37
1977,31,14
1978,19,8
1979,124,54
1980,30,15
1981,18,8
1982,90,39
1983,188,68
1988,160,74
1997,138,80
1998,167,75
1999,14,7
2000,129,60
2001,102,51
2002,420,110
2003,120,55
2004,30,13
2005,86,43
2006,246,87
2007,76,36
2008,38,18
2009,21,10
2010,154,68
2011,96,47
2012,97,39
2013,168,91
2014,178,89
2018,163,71
2022,79,37
2023,190,92
2024,70,35
2025,72,36
2026,354,177
2027,230,99
2028,130,62
2030,45,17
2031,143,68
2041,40,21
2042,53,24
2043,29,17
2045,15,7
2046,40,19
2056,54,25
2057,31,10
2058,NULL,30
2059,40,15
2060,110,54
2061,36,14
2062,85,39
2067,61,31
2070,180,85
2071,70,35
2072,104,48
2073,92,46
2074,204,102
2077,138,69
2083,100,43
2084,100,44
2085,144,72
2087,90,42
2091,NULL,96
2092,44,12
2093,126,54
2094,72,31
2095,33,12
2096,42,19
2097,207,83
2098,129,56
2103,32,14
2104,258,129
2105,184,89
2106,524,262
2107,133,59
2108,45,25
2109,480,130
2110,120,60
2111,314,130
2112,162,81
2114,125,59
2115,48,20
2116,77,34
2117,168,84
2118,96,48
2119,51,19
2125,30,14
2131,510,173
2135,84,42
2136,38,16
2137,87,36
2138,80,35
2147,45,22
2148,128,64
2149,26,12
2150,100,46
2151,80,38
2152,490,80
2153,50,24
2154,99,49
2155,95,43
2157,NULL,188
2158,NULL,190
2159,63,32
2160,34,16
2162,33,11
2164,67,39
2165,240,110
2166,216,108
2167,124,53
2168,60,42
2169,59,28
2170,44,16
2173,284,99
2174,32,13
2175,49,18
2176,48,24
2185,31,14
2186,112,47
2187,24,12
2188,150,15
2189,49,25
2190,24,12
2191,91,44
2192,179,57
2193,36,19
2194,60,32
2195,120,58
2196,100,52
2197,50,28
2198,72,36
2202,113,55
2203,145,72
2204,20,10
2205,60,27
2206,114,57
2207,40,20
2208,20,10
2209,19,9
2210,23,10
2211,58,24
2212,88,44
2213,18,9
2214,68,31
2220,120,57
2221,204,100
2222,40,19
2235,172,72
2236,24,12
2237,33,15
2238,193,84
2239,100,39
2240,25,13
2241,161,58
2242,168,84
2243,30,15
2244,102,50
2245,88,40
2249,47,18
2250,NULL,28
2251,45,19
2252,110,55
2253,50,27
2254,38,15
2255,60,27
2256,32,18
2257,259,89
2258,48,25
2259,99,53
2271,20,9
2272,87,30
2273,58,22
2274,27,13
2275,57,32
2277,202,70
2278,31,16
2279,182,50
2280,28,15
2281,26,13
2282,58,27
2284,80,40
2285,94,41
2294,261,95
2295,193,97
2296,530,162
2299,90,42
2301,66,29
2302,33,15
2303,127,56
2304,88,44
2305,21,11
2306,421,174
2307,204,98
2308,106,53
2309,222,75
2315,15,8
2316,124,62
2317,33,13
2318,90,43
2319,34,15
2320,44,23
2323,50,25
2324,70,35
2325,52,22
2326,162,54
2328,155,71
2329,43,19
2330,24,10
2331,196,98
2332,26,15
2334,69,29
2335,92,46
2336,65,31
2337,92,46
2338,492,246
2339,54,20
2340,190,88
2341,26,13
2342,36,17
2343,60,31
2344,140,70
2345,85,37
2346,43,14
2347,59,27
2348,105,52
2349,80,30
2359,41,23
2361,40,18
2362,132,61
2363,56,23
2365,300,9
2368,384,150
2369,57,26
2370,8,8
2371,50,43
2372,113,51
2373,22,10
2374,51,21
2375,90,45
2376,92,44
2377,28,9
2378,24,11
2379,26,10
2380,60,30
2384,431,36
2385,499,30
2386,146,66
2387,72,34
2389,120,50
2394,60,24
2395,43,16
2396,106,53
2397,21,13
2398,18,10
2399,15,8
2400,178,71
2403,139,64
2405,46,23
2406,170,85
2407,418,193
2408,32,12
2409,25,12
2410,108,40
2411,464,156
2412,258,129
2413,139,50
2416,120,24
2417,304,152
2418,89,46
2419,60,24
2420,64,31
2421,71,33
2424,82,41
2426,92,39
2428,181,82
2429,764,382
2430,140,48
2431,36,18
2432,73,30
2433,79,37
2434,187,78
2435,98,54
2436,64,22
2437,92,46
2439,18,9
2440,46,23
2442,45,21
2443,56,26
2446,280,139
2447,66,22
2448,73,32
2449,45,22
2450,134,69
2451,50,13
2452,78,40
2464,27,10
2465,18,9
2466,417,98
2467,282,116
2468,NULL,84
2469,40,24
2470,NULL,34
2471,56,25
2472,30,12
2473,52,24
2474,31,14
2476,88,42
2477,145,53
2486,49,21
2487,17,5
2491,94,47
2492,75,38
2493,345,100
2494,32,17
2495,10,6
2496,184,81
2497,15,6
2498,30,14
2499,55,28
2500,96,31
2503,25,11
2506,76,39
2507,47,20
2508,100,23
2509,112,54
2511,450,200
2512,58,25
2513,32,16
2515,27,12
2524,87,40
2525,94,44
2526,16,6
2527,124,62
2528,26,14
2529,12,6
2530,14,7
2531,137,58
2532,88,40
2533,116,53
2534,82,41
2536,136,55
2537,80,34
2538,105,41
2539,116,58
2542,172,72
2543,18,9
2546,92,52
2547,144,67
2548,62,33
2551,80,29
2552,46,23
2555,58,27
2556,15,7
2557,NULL,170
2558,21,9
2568,55,28
2573,34,17
2574,676,338
2575,86,37
2576,20,10
2577,147,63
2578,50,23
2581,62,31
2582,45,22
2583,NULL,65
2584,183,18
2585,91,44
2586,74,40
2587,22,11
2588,44,19
2589,143,68
2590,50,21
2591,20,10
2597,14,7
2598,22,11
2599,149,70
2600,25,9
2601,168,76
2607,NULL,24
2608,202,99
2609,174,63
2610,48,13
2611,168,82
2612,30,13
2613,413,126
2614,58,24
2615,75,30
2616,61,34
2617,22,9
2622,49,15
2623,392,132
2624,85,37
2625,72,34
2626,60,34
2629,50,22
2630,112,51
2631,74,35
2632,95,48
2633,243,109
2634,50,25
2635,80,37
2636,NULL,19
2637,80,38
2646,568,284
2647,133,56
2648,123,41
2649,28,14
2650,85,10
2651,64,27
2654,260,126
2655,116,45
2656,51,24
2657,NULL,26
2658,21,10
2659,22,10
2666,252,126
2667,56,26
2672,33,16
2673,158,70
2674,393,195
2675,28,12
2676,105,52
2677,37,15
2678,39,19
2679,29,13
2680,108,53
2681,44,22
2682,100,43
2687,26,12
2688,43,24
2689,30,9
2690,20,9
2691,144,79
2692,328,164
2693,39,13
2699,46,23
2701,216,96
2702,96,48
2703,35,17
2704,39,17
2705,NULL,50
2706,110,46
2707,31,16
2709,47,19
2710,88,38
2711,752,253
2712,34,18
2713,32,14
2714,40,22
2715,42,20
2716,28,13
2717,93,42
2718,24,10
2719,34,16
2720,NULL,118
2726,56,24
2727,86,37
2728,180,90
2729,20,7
2730,262,113
2731,47,22
2732,20,10
2735,68,31
2738,70,35
2739,37,13
2740,103,45
2741,11,5
2742,29,15
2743,100,48
2745,57,24
2746,47,21
2748,NULL,72
2749,40,19
2751,90,42
2752,52,20
2753,126,59
2754,20,7
2759,39,19
2760,56,26
2766,72,32
2770,45,20
2771,83,39
2774,58,34
2775,100,49
2776,45,21
2777,20,9
2778,237,79
2779,148,70
2780,61,33
2781,100,15
2782,40,17
2783,51,24
2784,33,16
2785,68,33
2786,29,16
2787,63,23
2788,14,6
2789,40,20
2796,98,48
2797,219,79
2800,100,35
2811,36,14
2813,99,52
2814,23,9
2815,35,16
2816,39,20
2817,183,84
2818,35,19
2819,157,81
2820,7,7
2821,194,97
2822,42,19
2823,64,30
2824,NULL,29
2825,142,68
2826,160,67
2827,43,21
2828,200,89
2829,81,39
2830,229,85
2831,870,250
2833,137,59
2834,58,34
2835,66,19
2836,139,64
2839,400,114
2846,22,10
2847,60,25
2848,144,62
2849,23,10
2850,30,15
2851,173,81
2853,60,28
2854,60,9
2855,38,19
2856,93,52
2857,44,19
2858,58,30
2866,49,27
2867,314,139
2868,78,42
2869,76,36
2876,11,5
2877,30,14
2878,50,13
2879,56,30
2880,139,66
2889,77,32
2890,66,33
2891,445,208
2892,64,25
2893,59,32
2896,99,44
2897,45,22
2898,21,11
2904,315,88
2905,17,7
2906,90,39
2907,38,19
2908,60,30
2911,44,19
2912,32,15
2913,96,48
2914,107,47
2915,422,198
2916,265,121
2917,240,120
2918,56,24
2919,66,35
2920,42,14
2921,12,5
2922,68,36
2923,16,8
2924,23,9
2925,20,10
2926,28,12
2927,40,18
2928,30,14
2929,26,11
2935,84,42
2937,89,43
2938,58,29
2939,14,7
2940,121,58
2941,96,48
2942,229,91
2948,21,8
2950,120,60
2951,25,11
2952,180,76
2953,19,9
2954,145,56
2960,166,83
2961,65,33
2964,35,16
2965,50,24
2966,172,75
2967,49,22
2968,94,47
2969,84,38
2970,24,12
2971,46,17
2972,20,11
2987,100,36
2988,72,32
2989,27,18
2990,63,29
2991,14,7
2992,186,86
2994,111,51
2995,81,45
2996,31,15
2997,70,30
2998,52,23
2999,24,10
3000,240,120
3001,43,18
3003,36,18
3006,70,30
3007,84,40
3008,80,37
3009,57,26
3010,134,67
3011,28,12
3014,60,32
3015,14,6
3016,47,19
3017,27,11
3026,216,85
3027,177,75
3031,NULL,70
3032,104,51
3033,38,19
3034,178,72
3035,24,12
3036,428,109
3037,20,10
3038,121,44
3039,226,113
3040,19,7
3041,119,56
3042,70,30
3043,622,293
3049,20,6
3050,172,86
3051,25,11
3052,117,59
3053,66,33
3054,123,54
3055,39,17
3056,116,60
3057,193,74
3059,48,20
3061,48,24
3062,15,7
3071,20,9
3072,86,42
3073,23,10
3074,18,8
3075,40,16
3076,108,54
3077,99,50
3078,60,23
3079,64,30
3080,89,42
3083,82,41
3084,110,49
3085,240,99
3086,230,87
3087,113,47
3088,91,51
3089,134,64
3090,65,27
3091,57,33
3092,81,42
3093,75,30
3094,49,25
3095,154,77
3109,130,65
3112,28,12
3113,19,11
3114,56,27
3116,197,83
3117,39,19
3118,24,11
3119,48,24
3122,27,10
3126,20,9
3127,28,17
3128,112,47
3129,93498,NULL
3130,60,26
3131,252,114
3132,92,50
3137,50,25
3138,20,10
3139,144,60
3140,44,19
3141,106,48
3143,50,22
3144,38,17
3145,63,33
3147,74,37
3148,30,12
3149,14,7
3150,256,91
3151,103,41
3152,87,29
3153,342,171
3154,42,21
3163,38,16
3164,56,27
3169,127,59
3170,82,41
3171,41,21
3172,30,15
3173,19,9
3174,49,22
3175,61,29
3176,56,24
3177,78,39
3178,50,26
3182,72,36
3183,80,34
3184,22,9
3185,54,28
3190,120,53
3191,63,27
3192,44,22
3196,99,39
3197,6,3
3198,132,64
3199,NULL,1156
3200,56,29
3203,78,39
3204,107,48
3205,68,27
3206,21,8
3207,84,37
3208,29,14
3209,197,89
3212,33,15
3217,95,45
3218,72,24
3219,39,12
3220,NULL,157
3221,70,32
3222,64,30
3223,73,36
3225,203,63
3226,196,98
3227,NULL,40
3228,178,65
3229,24,10
3236,42,18
3237,20,9
3238,65,25
3239,71,31
3240,18,7
3241,37,14
3242,16,8
3243,35,16
3244,65,26
3245,105,35
3248,18,8
3250,123,60
3251,148,73
3252,36,18
3254,113,56
3255,173,77
3256,60,26
3257,126,56
3259,30,15
3260,60,28
3267,26,13
3270,61,29
3271,588,369
3272,172,72
3273,18,6
3274,42,12
3275,93,43
3276,167,82
3277,248,124
3278,16,8
3279,34,15
3280,20,7
3281,48,25
3282,24,9
3283,130,45
3287,46,20
3288,40,20
3301,86,38
3302,34,17
3303,80,40
3306,38,19
3307,71,30
3308,38,20
3309,33,15
3310,610,305
3311,152,76
3312,20,9
3313,40,17
3314,34,14
3315,88,32
3316,48,19
3317,45,15
3318,65,30
3319,1313,289
3320,73,34
3321,102,51
3322,50,24
3323,96,40
3324,57,28
3325,NULL,158
3327,189,63
3328,NULL,62
3329,44,22
3331,60,23
3332,30,15
3333,48,26
3334,80,40
3339,45,21
3340,45,16
3341,118,67
3342,34,16
3344,43,20
3345,24,10
3346,200,98
3347,55,26
3348,99,60
3349,16,7
3350,162,81
3351,72,30
3358,18,9
3359,80,40
3361,1220,140
3362,30,15
3363,166,83
3364,275,125
3365,508,226
3366,63,28
3367,78,38
3368,500,161
3369,32,16
3370,27,12
3371,46,22
3374,49,24
3376,NULL,96
3377,77,37
3378,37,18
3379,83,41
3380,22,10
3381,39,18
3384,50,30
3385,169,63
3386,23,9
3387,35,17
3393,99,41
3394,84,42
3395,145,55
3396,240,101
3397,28,14
3398,50,22
3399,142,71
3400,52,24
3401,234,117
3402,302,151
3403,44,22
3404,30,15
3405,50,19
3406,260,133
3408,400,192
3409,152,56
3410,34,15
3411,265,129
3412,37,11
3413,31,11
3414,110,51
3420,72,35
3421,45,24
3422,NULL,115
3423,64,30
